Enter cache policy (LRU, LFU): Number: 17395, Steps: 203
Number: 10597, Steps: 99
Number: 2495, Steps: 71
Number: 12984, Steps: 138
Number: 20867, Steps: 149
Number: 26738, Steps: 95
Number: 18532, Steps: 110
Number: 32317, Steps: 147
Number: 20437, Steps: 61
Number: 25879, Steps: 170
Number: 7395, Steps: 39
Number: 3511, Steps: 43
Number: 13766, Steps: 107
Number: 17513, Steps: 79
Number: 24769, Steps: 95
Number: 23780, Steps: 51
Number: 14122, Steps: 32
Number: 13754, Steps: 151
Number: 26006, Steps: 126
Number: 6220, Steps: 36
Number: 10874, Steps: 68
Number: 24944, Steps: 64
Number: 28353, Steps: 59
Number: 36, Steps: 21
Number: 28711, Steps: 77
Number: 776, Steps: 121
Number: 29530, Steps: 72
Number: 29299, Steps: 103
Number: 25646, Steps: 51
Number: 25691, Steps: 108
Number: 15464, Steps: 27
Number: 24691, Steps: 51
Number: 3565, Steps: 48
Number: 7712, Steps: 26
Number: 13140, Steps: 32
Number: 13114, Steps: 107
Number: 564, Steps: 17
Number: 16819, Steps: 66
Number: 29854, Steps: 72
Number: 25497, Steps: 82
Number: 11168, Steps: 37
Number: 20501, Steps: 56
Number: 31439, Steps: 129
Number: 18757, Steps: 154
Number: 27940, Steps: 108
Number: 8755, Steps: 78
Number: 30127, Steps: 72
Number: 25908, Steps: 51
Number: 21225, Steps: 224
Number: 9835, Steps: 166
Number: 8631, Steps: 127
Number: 11082, Steps: 68
Number: 17752, Steps: 97
Number: 5964, Steps: 93
Number: 13257, Steps: 76
Number: 3893, Steps: 100
Number: 29301, Steps: 72
Number: 3997, Steps: 51
Number: 11551, Steps: 143
Number: 22678, Steps: 131
Number: 24942, Steps: 188
Number: 8097, Steps: 65
Number: 11138, Steps: 130
Number: 609, Steps: 131
Number: 25715, Steps: 170
Number: 18330, Steps: 154
Number: 2492, Steps: 133
Number: 10630, Steps: 55
Number: 23753, Steps: 100
Number: 31628, Steps: 54
Number: 25679, Steps: 77
Number: 20177, Steps: 136
Number: 1306, Steps: 26
Number: 5187, Steps: 41
Number: 22119, Steps: 100
Number: 28686, Steps: 77
Number: 13840, Steps: 151
Number: 20887, Steps: 61
Number: 782, Steps: 121
Number: 15474, Steps: 177
Number: 22818, Steps: 82
Number: 20975, Steps: 92
Number: 16031, Steps: 97
Number: 26678, Steps: 170
Number: 32173, Steps: 54
Number: 8964, Steps: 47
Number: 27773, Steps: 258
Number: 25477, Steps: 108
Number: 17478, Steps: 48
Number: 20456, Steps: 136
Number: 25860, Steps: 25
Number: 30872, Steps: 59
Number: 5199, Steps: 147
Number: 4166, Steps: 126
Number: 30656, Steps: 59
Number: 5408, Steps: 54
Number: 20424, Steps: 180
Number: 31979, Steps: 98
Number: 24029, Steps: 43
Number: 17124, Steps: 128
Number: 31080, Steps: 41
Number: 28037, Steps: 183
Number: 12511, Steps: 112
Number: 5035, Steps: 134
Number: 236, Steps: 34
Number: 25515, Steps: 108
Number: 14740, Steps: 133
Number: 1116, Steps: 44
Number: 10672, Steps: 148
Number: 10014, Steps: 65
Number: 11078, Steps: 68
Number: 7012, Steps: 57
Number: 16252, Steps: 66
Number: 30543, Steps: 85
Number: 7988, Steps: 52
Number: 18008, Steps: 40
Number: 3488, Steps: 118
Number: 30241, Steps: 90
Number: 25668, Steps: 64
Number: 15067, Steps: 115
Number: 19523, Steps: 48
Number: 12271, Steps: 156
Number: 30450, Steps: 85
Number: 24259, Steps: 126
Number: 30712, Steps: 116
Number: 25809, Steps: 170
Number: 13708, Steps: 32
Number: 31607, Steps: 191
Number: 18322, Steps: 154
Number: 30491, Steps: 240
Number: 9377, Steps: 109
Number: 16539, Steps: 141
Number: 13370, Steps: 45
Number: 8999, Steps: 184
Number: 22455, Steps: 69
Number: 23024, Steps: 131
Number: 18366, Steps: 172
Number: 25685, Steps: 25
Number: 21052, Steps: 193
Number: 7285, Steps: 44
Number: 9516, Steps: 78
Number: 11087, Steps: 205
Number: 29887, Steps: 116
Number: 3795, Steps: 69
Number: 32672, Steps: 54
Number: 18834, Steps: 105
Number: 19040, Steps: 79
Number: 20727, Steps: 118
Number: 29530, Steps: 72
Number: 13866, Steps: 32
Number: 19077, Steps: 79
Number: 9985, Steps: 91
Number: 29971, Steps: 64
Number: 4028, Steps: 95
Number: 25295, Steps: 95
Number: 11101, Steps: 68
Number: 19345, Steps: 61
Number: 32714, Steps: 67
Number: 23885, Steps: 144
Number: 27695, Steps: 59
Number: 18298, Steps: 123
Number: 25395, Steps: 38
Number: 30447, Steps: 90
Number: 30709, Steps: 134
Number: 11622, Steps: 50
Number: 23545, Steps: 131
Number: 14909, Steps: 71
Number: 7528, Steps: 132
Number: 1591, Steps: 104
Number: 12359, Steps: 156
Number: 29256, Steps: 121
Number: 25250, Steps: 95
Number: 18861, Steps: 105
Number: 6835, Steps: 57
Number: 18913, Steps: 61
Number: 30598, Steps: 116
Number: 5941, Steps: 49
Number: 28608, Steps: 103
Number: 27402, Steps: 59
Number: 10077, Steps: 86
Number: 28930, Steps: 165
Number: 15527, Steps: 115
Number: 12970, Steps: 32
Number: 3517, Steps: 149
Number: 11615, Steps: 112
Number: 17239, Steps: 141
Number: 19589, Steps: 167
Number: 4783, Steps: 77
Number: 4676, Steps: 59
Number: 30650, Steps: 178
Number: 19306, Steps: 74
Number: 29200, Steps: 46
Number: 20263, Steps: 61
Number: 25146, Steps: 108
Number: 4526, Steps: 38
Number: 21048, Steps: 193
Number: 18708, Steps: 61
Number: 2948, Steps: 141
Number: 7642, Steps: 31
Number: 11738, Steps: 143
Number: 27904, Steps: 121
Number: 21899, Steps: 162
Number: 4001, Steps: 43
Number: 5419, Steps: 41
Number: 31835, Steps: 147
Number: 26064, Steps: 46
Number: 30997, Steps: 54
Number: 2631, Steps: 190
Number: 2020, Steps: 63
Number: 1250, Steps: 26
Number: 20506, Steps: 56
Number: 31952, Steps: 54
Number: 3265, Steps: 136
Number: 5920, Steps: 49
Number: 5146, Steps: 28
Number: 10456, Steps: 179
Number: 26575, Steps: 77
Number: 4806, Steps: 59
Number: 31738, Steps: 54
Number: 23809, Steps: 100
Number: 4919, Steps: 103
Number: 5928, Steps: 49
Number: 16461, Steps: 115
Number: 27618, Steps: 46
Number: 25154, Steps: 38
Number: 2360, Steps: 58
Number: 21960, Steps: 43
Number: 19629, Steps: 136
Number: 12142, Steps: 156
Number: 22862, Steps: 175
Number: 11254, Steps: 60
Number: 12047, Steps: 42
Number: 12481, Steps: 50
Number: 22057, Steps: 100
Number: 17453, Steps: 141
Number: 1624, Steps: 42
Number: 26205, Steps: 139
Number: 12593, Steps: 63
Number: 13505, Steps: 76
Number: 20444, Steps: 61
Number: 22357, Steps: 38
Number: 6142, Steps: 155
Number: 27767, Steps: 152
Number: 6297, Steps: 62
Number: 4287, Steps: 126
Number: 1822, Steps: 42
Number: 19005, Steps: 167
Number: 1562, Steps: 122
Number: 6922, Steps: 150
Number: 14867, Steps: 71
Number: 23832, Steps: 51
Number: 26267, Steps: 126
Number: 22930, Steps: 69
Number: 23708, Steps: 74
Number: 24669, Steps: 38
Number: 3181, Steps: 105
Number: 2162, Steps: 138
Number: 24886, Steps: 95
Number: 18468, Steps: 110
Number: 30876, Steps: 54
Number: 19609, Steps: 167
Number: 8417, Steps: 158
Number: 29178, Steps: 165
Number: 6352, Steps: 31
Number: 2593, Steps: 40
Number: 10279, Steps: 148
Number: 19926, Steps: 74
Number: 7281, Steps: 18
Number: 29916, Steps: 116
Number: 21851, Steps: 56
Number: 4943, Steps: 134
Number: 9486, Steps: 60
Number: 3887, Steps: 51
Number: 11295, Steps: 60
Number: 22283, Steps: 69
Number: 22016, Steps: 38
Number: 2851, Steps: 27
Number: 552, Steps: 17
Number: 5243, Steps: 54
Number: 1866, Steps: 86
Number: 16825, Steps: 66
Number: 26950, Steps: 183
Number: 32709, Steps: 54
Number: 8132, Steps: 114
Number: 13438, Steps: 138
Number: 31390, Steps: 129
Number: 13314, Steps: 169
Number: 23161, Steps: 144
Number: 19808, Steps: 136
Number: 26426, Steps: 77
Number: 4522, Steps: 20
Number: 31565, Steps: 103
Number: 20672, Steps: 105
Number: 29125, Steps: 20
Number: 24908, Steps: 95
Number: 14051, Steps: 58
Number: 13768, Steps: 58
Number: 13711, Steps: 89
Number: 3715, Steps: 38
Number: 20925, Steps: 131
Number: 22783, Steps: 206
Number: 24280, Steps: 157
Number: 3877, Steps: 51
Number: 15013, Steps: 164
Number: 15642, Steps: 102
Number: 14410, Steps: 164
Number: 19133, Steps: 79
Number: 9292, Steps: 184
Number: 19990, Steps: 66
Number: 12743, Steps: 81
Number: 5692, Steps: 67
Number: 25138, Steps: 157
Number: 23171, Steps: 51
Number: 17509, Steps: 79
Number: 6123, Steps: 186
Number: 3269, Steps: 43
Number: 14115, Steps: 58
Number: 22455, Steps: 69
Number: 10148, Steps: 135
Number: 12493, Steps: 63
Number: 16563, Steps: 159
Number: 3151, Steps: 61
Number: 32578, Steps: 41
Number: 3591, Steps: 149
Number: 12297, Steps: 50
Number: 3968, Steps: 113
Number: 20310, Steps: 87
Number: 10512, Steps: 55
Number: 29791, Steps: 116
Number: 23657, Steps: 82
Number: 3100, Steps: 154
Number: 13445, Steps: 45
Number: 2031, Steps: 63
Number: 3630, Steps: 56
Number: 1709, Steps: 55
Number: 5481, Steps: 41
Number: 29376, Steps: 134
Number: 10121, Steps: 179
Number: 9845, Steps: 73
Number: 1735, Steps: 104
Number: 28607, Steps: 196
Number: 29570, Steps: 59
Number: 22248, Steps: 131
Number: 8344, Steps: 127
Number: 26641, Steps: 95
Number: 25466, Steps: 64
Number: 32113, Steps: 46
Number: 17894, Steps: 97
Number: 14504, Steps: 19
Number: 3694, Steps: 69
Number: 2987, Steps: 48
Number: 15922, Steps: 146
Number: 30228, Steps: 85
Number: 13690, Steps: 151
Number: 468, Steps: 22
Number: 32276, Steps: 72
Number: 8860, Steps: 122
Number: 29084, Steps: 165
Number: 30079, Steps: 271
Number: 25377, Steps: 56
Number: 2702, Steps: 159
Number: 28347, Steps: 64
Number: 28808, Steps: 121
Number: 26385, Steps: 126
Number: 15059, Steps: 63
Number: 22504, Steps: 175
Number: 15437, Steps: 58
Number: 3618, Steps: 56
Number: 17862, Steps: 48
Number: 22755, Steps: 38
Number: 27931, Steps: 113
Number: 5303, Steps: 147
Number: 19015, Steps: 61
Number: 22753, Steps: 175
Number: 16871, Steps: 58
Number: 8261, Steps: 127
Number: 28938, Steps: 165
Number: 21132, Steps: 105
Number: 11327, Steps: 86
Number: 30575, Steps: 196
Number: 21557, Steps: 69
Number: 27980, Steps: 108
Number: 5248, Steps: 116
Number: 1392, Steps: 34
Number: 1323, Steps: 52
Number: 15301, Steps: 40
Number: 11848, Steps: 37
Number: 11450, Steps: 29
Number: 9378, Steps: 153
Number: 17313, Steps: 53
Number: 28974, Steps: 59
Number: 11484, Steps: 81
Number: 16636, Steps: 53
Number: 12943, Steps: 169
Number: 2481, Steps: 40
Number: 8105, Steps: 70
Number: 28372, Steps: 59
Number: 25739, Steps: 51
Number: 22127, Steps: 118
Number: 20887, Steps: 61
Number: 20439, Steps: 87
Number: 8033, Steps: 96
Number: 17816, Steps: 141
Number: 31077, Steps: 116
Number: 31701, Steps: 103
Number: 10092, Steps: 135
Number: 9889, Steps: 122
Number: 4865, Steps: 46
Number: 23, Steps: 15
Number: 4516, Steps: 38
Number: 17469, Steps: 141
Number: 25000, Steps: 126
Number: 26868, Steps: 90
Number: 30424, Steps: 85
Number: 23177, Steps: 56
Number: 23887, Steps: 100
Number: 2463, Steps: 208
Number: 27703, Steps: 77
Number: 15750, Steps: 128
Number: 3906, Steps: 38
Number: 30275, Steps: 46
Number: 25877, Steps: 51
Number: 17357, Steps: 79
Number: 8715, Steps: 140
Number: 25682, Steps: 162
Number: 25068, Steps: 64
Number: 18814, Steps: 110
Number: 10389, Steps: 148
Number: 25882, Steps: 51
Number: 4257, Steps: 38
Number: 24442, Steps: 95
Number: 24721, Steps: 95
Number: 11929, Steps: 99
Number: 16905, Steps: 58
Number: 31442, Steps: 85
Number: 29721, Steps: 147
Number: 26258, Steps: 77
Number: 22700, Steps: 131
Number: 14463, Steps: 76
Number: 32403, Steps: 67
Number: 9184, Steps: 47
Number: 5321, Steps: 54
Number: 2387, Steps: 102
Number: 22745, Steps: 82
Number: 6667, Steps: 181
Number: 24986, Steps: 64
Number: 23087, Steps: 175
Number: 28823, Steps: 121
Number: 8985, Steps: 184
Number: 2008, Steps: 68
Number: 3191, Steps: 74
Number: 12020, Steps: 143
Number: 7078, Steps: 57
Number: 27010, Steps: 77
Number: 21187, Steps: 131
Number: 12916, Steps: 76
Number: 17719, Steps: 79
Number: 10971, Steps: 267
Number: 17879, Steps: 123
Number: 24604, Steps: 113
Number: 8908, Steps: 140
Number: 27826, Steps: 152
Number: 17878, Steps: 123
Number: 4056, Steps: 38
Number: 948, Steps: 36
Number: 31717, Steps: 147
Number: 31666, Steps: 147
Number: 22555, Steps: 69
Number: 12453, Steps: 94
Number: 6696, Steps: 44
Number: 3815, Steps: 175
Number: 15557, Steps: 40
Number: 28428, Steps: 59
Number: 17411, Steps: 172
Number: 25449, Steps: 56
Number: 17737, Steps: 48
Number: 20130, Steps: 43
Number: 6170, Steps: 36
Number: 29658, Steps: 134
Number: 15887, Steps: 146
Number: 30016, Steps: 28
Number: 17329, Steps: 141
Number: 7169, Steps: 75
Number: 10519, Steps: 104
Number: 23796, Steps: 100
Number: 6255, Steps: 111
Number: 26488, Steps: 170
Number: 8672, Steps: 47
Number: 14420, Steps: 58
Number: 12130, Steps: 24
Number: 14500, Steps: 71
Number: 14472, Steps: 58
Number: 28946, Steps: 209
Number: 15684, Steps: 53
Number: 23530, Steps: 51
Number: 2100, Steps: 32
Number: 29905, Steps: 72
Number: 31741, Steps: 129
Number: 23328, Steps: 38
Number: 3250, Steps: 136
Number: 17463, Steps: 128
Number: 19816, Steps: 136
Number: 9538, Steps: 78
Number: 31581, Steps: 191
Number: 30788, Steps: 54
Number: 31578, Steps: 191
Number: 24167, Steps: 144
Number: 9025, Steps: 47
Number: 12770, Steps: 125
Number: 14561, Steps: 164
Number: 27635, Steps: 121
Number: 6272, Steps: 31
Number: 10173, Steps: 179
Number: 18633, Steps: 154
Number: 4365, Steps: 46
Number: 12021, Steps: 143
Number: 18004, Steps: 48
Number: 28005, Steps: 33
Number: 12116, Steps: 112
Number: 2070, Steps: 125
Number: 5713, Steps: 173
Number: 1420, Steps: 34
Number: 32717, Steps: 67
Number: 14367, Steps: 89
Number: 23829, Steps: 51
Number: 31457, Steps: 85
Number: 22560, Steps: 38
Number: 18029, Steps: 92
Number: 11160, Steps: 130
Number: 25943, Steps: 51
Number: 20485, Steps: 43
Number: 3367, Steps: 87
Number: 20336, Steps: 35
Number: 2037, Steps: 50
Number: 23289, Steps: 56
Number: 15396, Steps: 133
Number: 23087, Steps: 175
Number: 2775, Steps: 66
Number: 10805, Steps: 117
Number: 777, Steps: 33
Number: 13042, Steps: 182
Number: 5750, Steps: 54
Number: 27360, Steps: 59
Number: 9906, Steps: 42
Number: 26167, Steps: 152
Number: 13353, Steps: 68
Number: 13444, Steps: 45
Number: 1492, Steps: 21
Number: 10223, Steps: 179
Number: 6123, Steps: 186
Number: 15295, Steps: 84
Number: 20704, Steps: 43
Number: 15317, Steps: 58
Number: 14174, Steps: 58
Number: 7483, Steps: 39
Number: 31018, Steps: 54
Number: 14333, Steps: 102
Number: 21008, Steps: 30
Number: 21727, Steps: 100
Number: 6986, Steps: 150
Number: 21936, Steps: 118
Number: 20221, Steps: 87
Number: 13639, Steps: 76
Number: 26818, Steps: 121
Number: 17527, Steps: 48
Number: 4950, Steps: 72
Number: 29554, Steps: 72
Number: 21730, Steps: 56
Number: 13174, Steps: 169
Number: 13953, Steps: 133
Number: 6843, Steps: 137
Number: 2281, Steps: 151
Number: 1275, Steps: 83
Number: 14177, Steps: 151
Number: 32011, Steps: 85
Number: 25453, Steps: 82
Number: 24663, Steps: 188
Number: 5847, Steps: 142
Number: 29516, Steps: 103
Number: 1789, Steps: 99
Number: 5613, Steps: 129
Number: 31625, Steps: 85
Number: 545, Steps: 43
Number: 15364, Steps: 40
Number: 2440, Steps: 40
Number: 17122, Steps: 27
Number: 14036, Steps: 58
Number: 10736, Steps: 99
Number: 5874, Steps: 54
Number: 9050, Steps: 39
Number: 20624, Steps: 149
Number: 11156, Steps: 130
Number: 9410, Steps: 60
Number: 17399, Steps: 203
Number: 2512, Steps: 40
Number: 17099, Steps: 53
Number: 22901, Steps: 30
Number: 27923, Steps: 90
Number: 5655, Steps: 111
Number: 28511, Steps: 152
Number: 9920, Steps: 91
Number: 13921, Steps: 107
Number: 10210, Steps: 60
Number: 27945, Steps: 134
Number: 7973, Steps: 52
Number: 22059, Steps: 162
Number: 4826, Steps: 72
Number: 7545, Steps: 70
Number: 18885, Steps: 123
Number: 30173, Steps: 116
Number: 24143, Steps: 43
Number: 8120, Steps: 39
Number: 26741, Steps: 46
Number: 12231, Steps: 156
Number: 23522, Steps: 51
Number: 23883, Steps: 95
Number: 25619, Steps: 126
Number: 6687, Steps: 49
Number: 5761, Steps: 173
Number: 3259, Steps: 48
Number: 21275, Steps: 149
Number: 837, Steps: 41
Number: 11673, Steps: 81
Number: 28691, Steps: 196
Number: 20085, Steps: 92
Number: 17227, Steps: 79
Number: 28806, Steps: 165
Number: 21130, Steps: 105
Number: 2193, Steps: 138
Number: 18101, Steps: 40
Number: 20047, Steps: 66
Number: 2402, Steps: 58
Number: 23222, Steps: 144
Number: 13949, Steps: 133
Number: 28048, Steps: 59
Number: 31760, Steps: 54
Number: 15511, Steps: 53
Number: 24923, Steps: 38
Number: 183, Steps: 93
Number: 30621, Steps: 85
Number: 23080, Steps: 51
Number: 19011, Steps: 123
Number: 10867, Steps: 161
Number: 20812, Steps: 180
Number: 15279, Steps: 32
Number: 46, Steps: 16
Number: 1642, Steps: 29
Number: 7293, Steps: 163
Number: 13342, Steps: 182
Number: 8989, Steps: 78
Number: 10795, Steps: 68
Number: 30673, Steps: 59
Number: 2464, Steps: 27
Number: 14939, Steps: 71
Number: 12899, Steps: 63
Number: 13711, Steps: 89
Number: 3186, Steps: 123
Number: 16387, Steps: 53
Number: 12371, Steps: 94
Number: 25415, Steps: 56
Number: 4084, Steps: 51
Number: 1475, Steps: 140
Number: 2945, Steps: 79
Number: 29877, Steps: 41
Number: 31232, Steps: 28
Number: 22239, Steps: 162
Number: 11182, Steps: 68
Number: 5607, Steps: 67
Number: 23674, Steps: 100
Number: 31609, Steps: 85
Number: 32521, Steps: 67
Number: 26786, Steps: 95
Number: 19752, Steps: 136
Number: 271, Steps: 42
Number: 12450, Steps: 37
Number: 12547, Steps: 63
Number: 28612, Steps: 77
Number: 27717, Steps: 152
Number: 8993, Steps: 78
Number: 13666, Steps: 58
Number: 26192, Steps: 46
Number: 14309, Steps: 76
Number: 952, Steps: 36
Number: 21883, Steps: 100
Number: 7082, Steps: 119
Number: 17700, Steps: 48
Number: 2390, Steps: 120
Number: 7376, Steps: 39
Number: 7264, Steps: 18
Number: 8487, Steps: 140
Number: 13342, Steps: 182
Number: 21577, Steps: 193
Number: 29125, Steps: 20
Number: 17349, Steps: 48
Number: 8471, Steps: 57
Number: 22302, Steps: 69
Number: 13125, Steps: 76
Number: 11151, Steps: 68
Number: 17957, Steps: 92
Number: 12022, Steps: 42
Number: 16885, Steps: 172
Number: 31501, Steps: 129
Number: 10808, Steps: 161
Number: 15185, Steps: 177
Number: 25198, Steps: 64
Number: 31563, Steps: 103
Number: 28099, Steps: 82
Number: 26659, Steps: 183
Number: 10460, Steps: 179
Number: 10132, Steps: 34
Number: 14192, Steps: 58
Number: 14273, Steps: 50
Number: 27474, Steps: 95
Number: 9854, Steps: 210
Number: 22802, Steps: 82
Number: 9217, Steps: 47
Number: 11873, Steps: 99
Number: 21543, Steps: 74
Number: 16602, Steps: 97
Number: 6813, Steps: 62
Number: 16360, Steps: 66
Number: 16829, Steps: 110
Number: 2767, Steps: 97
Number: 6361, Steps: 106
Number: 29741, Steps: 46
Number: 20036, Steps: 92
Number: 18040, Steps: 141
Number: 10854, Steps: 161
Number: 14637, Steps: 133
Number: 15507, Steps: 146
Number: 17627, Steps: 53
Number: 20357, Steps: 87
Number: 29745, Steps: 46
Number: 27296, Steps: 20
Number: 684, Steps: 126
Number: 3696, Steps: 131
Number: 23970, Steps: 82
Number: 3582, Steps: 100
Number: 702, Steps: 82
Number: 13301, Steps: 138
Number: 20254, Steps: 136
Number: 6564, Steps: 75
Number: 11453, Steps: 81
Number: 1892, Steps: 37
Number: 14283, Steps: 32
Number: 12528, Steps: 125
Number: 1055, Steps: 168
Number: 30123, Steps: 90
Number: 10988, Steps: 68
Number: 19436, Steps: 123
Number: 19288, Steps: 167
Number: 30656, Steps: 59
Number: 15538, Steps: 115
Number: 28879, Steps: 72
Number: 26445, Steps: 51
Number: 14399, Steps: 164
Number: 8532, Steps: 34
Number: 9927, Steps: 135
Number: 5900, Steps: 142
Number: 15445, Steps: 27
Number: 16994, Steps: 128
Number: 1525, Steps: 109
Number: 21434, Steps: 30
Number: 5084, Steps: 33
Number: 15958, Steps: 53
Number: 2233, Steps: 138
Number: 27852, Steps: 59
Number: 21703, Steps: 162
Number: 1644, Steps: 135
Number: 561, Steps: 43
Number: 13435, Steps: 94
Number: 26049, Steps: 77
Number: 3763, Steps: 38
Number: 24060, Steps: 157
Number: 20593, Steps: 30
Number: 23569, Steps: 82
Number: 17508, Steps: 79
Number: 3396, Steps: 61
Number: 713, Steps: 25
Number: 28865, Steps: 72
Number: 15987, Steps: 84
Number: 17659, Steps: 128
Number: 32566, Steps: 204
Number: 20735, Steps: 149
Number: 23653, Steps: 82
Number: 29028, Steps: 72
Number: 8322, Steps: 65
Number: 19907, Steps: 74
Number: 18273, Steps: 154
Number: 726, Steps: 46
Number: 4667, Steps: 33
Number: 11954, Steps: 50
Number: 2441, Steps: 71
Number: 30653, Steps: 90
Number: 17065, Steps: 172
Number: 11331, Steps: 130
Number: 12171, Steps: 156
Number: 18401, Steps: 123
Number: 12546, Steps: 63
Number: 21792, Steps: 69
Number: 10354, Steps: 55
Number: 5355, Steps: 98
Number: 27617, Steps: 121
Number: 25295, Steps: 95
Number: 22467, Steps: 206
Number: 17445, Steps: 141
Number: 21493, Steps: 100
Number: 16785, Steps: 128
Number: 3525, Steps: 118
Number: 25985, Steps: 51
Number: 30454, Steps: 147
Number: 20362, Steps: 43
Number: 23072, Steps: 51
Number: 3037, Steps: 61
Number: 5854, Steps: 173
Number: 5923, Steps: 36
Number: 27817, Steps: 90
Number: 31365, Steps: 54
Number: 12629, Steps: 32
Number: 2221, Steps: 32
Number: 30845, Steps: 134
Number: 19449, Steps: 74
Number: 7021, Steps: 44
Number: 30535, Steps: 191
Number: 19789, Steps: 123
Number: 30193, Steps: 41
Number: 1423, Steps: 65
Number: 23809, Steps: 100
Number: 6904, Steps: 44
Number: 20127, Steps: 118
Number: 31670, Steps: 103
Number: 10817, Steps: 117
Number: 4959, Steps: 46
Number: 30516, Steps: 33
Number: 13786, Steps: 58
Number: 9318, Steps: 153
Number: 24181, Steps: 95
Number: 20389, Steps: 180
Number: 19632, Steps: 136
Number: 6060, Steps: 142
Number: 5269, Steps: 54
Number: 22447, Steps: 100
Number: 9872, Steps: 135
Number: 24655, Steps: 157
Number: 13081, Steps: 169
Number: 8473, Steps: 57
Number: 12470, Steps: 187
Number: 3828, Steps: 56
Number: 16168, Steps: 66
Number: 14137, Steps: 107
Number: 14510, Steps: 58
Number: 11332, Steps: 130
Number: 2767, Steps: 97
Number: 8121, Steps: 39
Number: 31242, Steps: 103
Number: 24538, Steps: 64
Number: 20563, Steps: 136
Number: 22683, Steps: 131
Number: 13398, Steps: 138
Number: 32351, Steps: 147
Number: 6086, Steps: 111
Number: 30587, Steps: 134
Number: 23886, Steps: 100
Number: 17139, Steps: 79
Number: 6873, Steps: 31
Number: 19988, Steps: 180
Number: 17230, Steps: 79
Number: 14287, Steps: 195
Number: 6897, Steps: 106
Number: 14342, Steps: 76
Number: 13321, Steps: 169
Number: 4649, Steps: 134
Number: 23933, Steps: 51
Number: 30167, Steps: 90
Number: 31614, Steps: 178
Number: 1368, Steps: 127
Number: 17030, Steps: 40
Number: 14647, Steps: 164
Number: 20264, Steps: 35
Number: 20793, Steps: 224
Number: 10631, Steps: 55
Number: 18056, Steps: 40
Number: 31093, Steps: 41
Number: 4049, Steps: 64
Number: 6272, Steps: 31
Number: 20381, Steps: 74
Number: 22906, Steps: 82
Number: 1588, Steps: 29
Number: 22854, Steps: 175
Number: 27586, Steps: 152
Number: 2789, Steps: 128
Number: 31909, Steps: 54
Number: 285, Steps: 104
Number: 20733, Steps: 56
Number: 18995, Steps: 53
Number: 25086, Steps: 113
Number: 5768, Steps: 49
Number: 12948, Steps: 50
Number: 26915, Steps: 139
Number: 15955, Steps: 53
Number: 18784, Steps: 123
Number: 26831, Steps: 152
Number: 26474, Steps: 46
Number: 14546, Steps: 133
Number: 28964, Steps: 103
Number: 17919, Steps: 247
Number: 936, Steps: 23
Number: 13549, Steps: 45
Number: 17808, Steps: 141
Number: 15551, Steps: 146
Number: 22683, Steps: 131
Number: 19132, Steps: 79
Number: 1393, Steps: 34
Number: 15226, Steps: 133
Number: 23186, Steps: 188
Number: 7836, Steps: 83
Number: 32695, Steps: 160
Number: 24878, Steps: 126
Number: 18725, Steps: 48
Number: 23581, Steps: 82
Number: 13004, Steps: 138
Number: 28527, Steps: 165
Number: 26916, Steps: 139
Number: 22555, Steps: 69
Number: 30244, Steps: 85
Number: 7598, Steps: 70
Number: 6861, Steps: 31
Number: 7722, Steps: 26
Number: 25110, Steps: 108
Number: 12731, Steps: 138
Number: 8258, Steps: 189
Number: 27960, Steps: 59
Number: 27114, Steps: 38
Number: 393, Steps: 58
Number: 10298, Steps: 148
Number: 26477, Steps: 139
Number: 23603, Steps: 51
Number: 16946, Steps: 58
Number: 28918, Steps: 134
Number: 31062, Steps: 147
Number: 15711, Steps: 84
Number: 18490, Steps: 154
Number: 6007, Steps: 41
Number: 15427, Steps: 84
Number: 12428, Steps: 125
Number: 7448, Steps: 39
Number: 26350, Steps: 170
Number: 22509, Steps: 61
Number: 25245, Steps: 108
Number: 3570, Steps: 30
Number: 15476, Steps: 146
Number: 10076, Steps: 86
Number: 11149, Steps: 37
Number: 6057, Steps: 186
Number: 21243, Steps: 100
Number: 9480, Steps: 153
Number: 23044, Steps: 175
Number: 21525, Steps: 118
Number: 2948, Steps: 141
Number: 25151, Steps: 157
Number: 23848, Steps: 95
Number: 19602, Steps: 105
Number: 1427, Steps: 26
Number: 3526, Steps: 118
Number: 16566, Steps: 97
Number: 21947, Steps: 56
Number: 7136, Steps: 75
Number: 19907, Steps: 74
Number: 12113, Steps: 68
Number: 22645, Steps: 38
Number: 6480, Steps: 31
Number: 28890, Steps: 72
Number: 28442, Steps: 121
Number: 11312, Steps: 130
Number: 14883, Steps: 133
Number: 14999, Steps: 89
Number: 3200, Steps: 30
Number: 26217, Steps: 108
Number: 19823, Steps: 167
Number: 20236, Steps: 74
Number: 10074, Steps: 86
Number: 17267, Steps: 53
Number: 2765, Steps: 128
Number: 443, Steps: 53
Number: 5683, Steps: 80
Number: 3192, Steps: 123
Number: 28754, Steps: 152
Number: 2998, Steps: 48
Number: 21476, Steps: 74
Number: 7867, Steps: 52
Number: 15553, Steps: 84
Number: 27908, Steps: 33
Number: 27497, Steps: 90
Number: 30751, Steps: 103
Number: 23038, Steps: 113
Number: 32071, Steps: 85
Number: 21997, Steps: 69
Number: 27885, Steps: 59
Number: 19398, Steps: 22
Number: 28572, Steps: 196
